PC1,PC2,PC3,title,country,date
-0.99554986,0.45395744,6.598602,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,taiwan,2021-07-18
9.46507,-5.405489,14.721976,Monster Hunter,taiwan,2021-07-18
12.628818,-8.440279,5.01635,Fast & Furious Presents: Hobbs & Shaw,taiwan,2021-07-18
4.2592516,3.8765476,-1.3994423,A Writer's Odyssey,taiwan,2021-07-18
3.2349627,1.7819283,6.3431587,How I Became a Superhero,taiwan,2021-07-18
1.8813883,11.185394,-5.3001356,The Intern,taiwan,2021-07-18
0.6553641,7.752862,-3.2189128,Fear Street Part 3: 1666,taiwan,2021-07-18
-3.5868354,4.6114388,4.439222,The 8th Night,taiwan,2021-07-18
12.074156,4.4854345,0.51124734,Baywatch,taiwan,2021-07-18
3.0247128,6.7515593,-1.7608154,A Classic Horror Story,taiwan,2021-07-18
19.422617,4.68567,4.562813,Godzilla: King of the Monsters,taiwan,2021-08-15
10.973778,1.8367218,-12.5048485,Beckett,taiwan,2021-08-15
-2.8782177,8.007409,-4.6340866,The Kissing Booth 3,taiwan,2021-08-15
3.6097324,0.9412571,5.9875345,The Swarm,taiwan,2021-08-15
-8.550794,-0.048080336,-0.12912486,Kingdom: Ashin of the North,taiwan,2021-08-15
5.774627,13.169438,-4.070131,Blood Red Sky,taiwan,2021-08-15
-0.8660678,5.2274313,-2.5285914,I missed you: Director's Cut,taiwan,2021-08-15
-1.8434821,7.1867437,-3.8478086,Jump Ashin!,taiwan,2021-08-15
-2.640802,1.7337376,4.1500983,Monster Hunter: Legends of the Guild,taiwan,2021-08-15
-0.99654704,0.4543959,6.595662,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,taiwan,2021-08-15
10.967666,1.8327421,-12.511084,Kate,taiwan,2021-09-12
4.611692,13.051746,-4.8606853,Man in Love,taiwan,2021-09-12
14.587653,9.360994,3.5638876,SAS: Rise of the Black Swan,taiwan,2021-09-12
-3.2829096,11.174491,-8.804091,In Time,taiwan,2021-09-12
-6.009118,8.811013,13.0327215,Gone Girl,taiwan,2021-09-12
3.2882843,-1.3429283,12.413177,Overlord,taiwan,2021-09-12
0.91523844,7.9559193,-3.242719,Yesterday,taiwan,2021-09-12
-3.5423763,10.331928,-6.082428,Afterlife of the Party,taiwan,2021-09-12
-2.2419515,1.0692686,4.357599,The Pond,taiwan,2021-09-12
2.493637,2.9886892,7.2222557,Prey,taiwan,2021-09-12
11.990141,4.931254,-11.845459,The Guilty,taiwan,2021-10-10
0.29736614,-5.3295884,-3.2186458,Blade Runner 2049,taiwan,2021-10-10
10.531787,20.118185,1.9430479,Mr. & Mrs. Smith,taiwan,2021-10-10
3.9717145,12.396096,2.6725407,The Age of Adaline,taiwan,2021-10-10
-11.832545,-7.824852,7.4508586,Heat,taiwan,2021-10-10
11.185948,6.2536387,-13.90672,Security,taiwan,2021-10-10
4.6125364,13.051891,-4.860525,Man in Love,taiwan,2021-10-10
-14.899757,1.0221647,12.406906,Knight and Day,taiwan,2021-10-10
-2.6640348,8.158295,-4.8405757,Upcoming Summer,taiwan,2021-10-10
-0.031897113,12.603689,-7.422151,Love & Other Drugs,taiwan,2021-10-10
22.197329,0.88922787,2.779915,Army of Thieves,taiwan,2021-11-07
